"number","assignment_group","variables.c484205e1b7aff00b3c9a9fe6e4bcb67","variables.91a4a05e1b7aff00b3c9a9fe6e4bcb5d"
"SCTASK0011336","COG - Application Support","Request to Help Locate FA Letter Following Discipline Hearing - Luke Wilkins: FAN No: 1633945","Good morning to you,

I hope that you are well.

I'm just following up to request an update on this issue which was submitted 2 weeks ago.

I am aware that my CEO, Alan Darfi, 'Approved' this request on or about 20 September, but I have yet to hear on how the request is progressing.

I have also looked on the Portal and have been unable to locate an update to the request either.

In addition, I did not receive an acknowledgement to the e-mail which I originally sent requesting assistance on 15 September. For ease of reference, I have included a copy of the e-mail below:

Request to Help Locate FA Letter Following Discipline Hearing - Luke Wilkins: FAN No: 1633945

Good afternoon to you,

I hope that you are well.

I wonder if you could provide me with some assistance please?

This morning I have updated an individuals Whole Game Record (Luke Wilkins – FAN Number: 1633945) with the results of a Disciplinary Hearing that was held last week (Case Number: 10187792M) at the Herefordshire FA.

Having completed the necessary update within his record and completed the 'FA-Letter Processing' process, on checking within the 'Documents' section of this Whole Game Record there seems to be no letter attached and/or retained. 

Would you be kind enough to carry out an investigation into locating the corresponding FA Letter associated to this individual and Case Number and attach it to his record and forward a copy of the letter to me enabling me to send it out to the individual?

It is hoped that the information provided is found to be satisfactory and if you require any further information or have any questions then please don't hesitate to ask me.

Your anticipated advice and guidance in this matter would be greatly appreciated, as always.

It would be greatly appreciated if an update on this request could be provided please.

With kindest regards and take care.

Paul
Paul Cotton
Football Services Manager
Herefordshire Football Association
Email: Paul.Cotton@herefordshirefa.com
Office Telephone: 01432 342179"
"SCTASK0011328","COG - Application Support","Adam needs full access on CRM to Derbyshire FA discipline","Adam is currently dealing with discipline cases and has limited access to CRM.

He needs full access to be able to do the role"
"SCTASK0011324","COG - Service Desk Support","Renewal of IT contract for all Men Doctors till August 2021. FA profile, Google account and MS 365 account","Renewal of IT contract for all Men Doctors till August 2021. FA profile, Google account and MS 365 account

Ish Rehman
Vicann During
Dean Chaterjee
Craig Rosenbloom
Farhan Shahid
Wing Chu"
"SCTASK0011322","COG - Service Desk Support","Change of department and line manager","Dep: Digital Technology
Line manager: Joe Morrissey"
"SCTASK0011321","COG - Application Support","Safeguarding expiry needs to be put on crm","Neil Bryant fan 64360320 safeguarding needs expiry date put on  crm/WGS 22/5/22"
"SCTASK0011320","COG - Application Support","Amend CPD hours attached to a Qual ID","Incorrect hours attached to Qual ID, requires updating. As Is / To Be attached."
"SCTASK0011315","COG - Application Support","SingleViewIndividual table not containing some memberships?","To the attention of Kasthuri and Smitha:

Hello - I wanted to inform you about an issue with the SingleViewIndividual table that I believe needs looking at.

In the attached screenshot you can see on SV_SQL that if I run two simple queries returning information for one user - there is information on the SingleViewMemberships table but not on the SingleViewIndividual table.

I've picked out one user here (66951259) but there are many other examples of the same issue. It appears to be recently and appears to be high value fancodes.

Could you look into this please and let me know what you can resolve?

Thanks,

Andy."
"SCTASK0011308","COG - Application Support","I need other staff to have access to SOS dashboards. The dashboards are on a screenshot attached. I need access to be given to Lauren Halsey Steve Maker and Rob Smith Maker","I am leaving so need to ensure that others can monitor dashboards"
"SCTASK0011294","COG - Smart Ops Support (L1.5)","Require CFA access to EMS and participant","This will allow be to support our course administration"
"SCTASK0011293","COG - Compute support","RDP access to WEM-RMAN7.FA.DS.COM   (IP address: 10.104.128.223).","Can I please get RDP access to the server WEM-RMAN7.FA.DS.COM   (IP address: 10.104.128.223). This is required for me to carry out PowerBI reporting."
"SCTASK0011292","COG - Application Support","Safeguarding expiry needs updating on CRM/WGS","Andrea Casella Fan 62522151 Safeguarding expires 3/6/22 please update this on crM/wgs"
"SCTASK0011281","COG - DBA Support","Need write Access for  Database","Need write Access for test Db 
Could you please grant me write access ,
User ID:FADEV\COG.SSR
Test Db Server Name : FADEV-TESTSQL1?

Databases:FAApplicationErrorLog,ReportServer,wgs"
"SCTASK0011276","COG - Service Desk Support","Microsoft GP 2018 password rest (urgent!)","Microsoft GP 2018 password rest (urgent!) - last day of month end!"
"SCTASK0011263","COG - Smart Ops Support (L1.5)","Hi there, is there anyway we can access Sage from our server so that we can access it whilst working from home.  It is currently help on a computer in the office and we are unable to access it when we are working from home","Myself and Steve Brookfield need to access Sage when working from home"
"SCTASK0011238","COG - Azure Support","Test Version of Smartpay and Azure DevOps","Please add Banish to the Azure DevOps Organisation as a Member. 
Also grant access to the test version of Smartpay."
"SCTASK0011165","COG - ServiceNow Support","Please add me in the following SNOW Groups","COG - DevOps Support
COG - Release Management
Username in snow: Cog.MAnandan"
"SCTASK0011159","COG - Compute support","Unable to access Test URLs from RMAN Servers & DEV Jump Server.","To do QA team to complete the testing we need access to those urls(Attached)

Source:- 

HostName:-  Dev Jump Server, RMAN Server
Ip Address:-  10.110.0198,  10.104.117.30 , 10.104.208.170
Ports:- 80

Destination:- 

HostName:-  QA Server
Ip Address:-  10.122.9.5,10.122.9.6,10.122.9.7
Ports:- 80"
"SCTASK0011158","COG - Compute support","fadev-tfs2 server access","FADEV-TFS2	10.104.116.136
Username: Cog.MAnandan 
Access required to connect project through visual studio"
"SCTASK0011154","COG - Service Desk Support","Please reset the password for FA\Cog.AnAntony","Please reset the password for FA\Cog.AnAntony"
"SCTASK0011151","COG - DBA Support","Need Access for test Db","Need Access for test Db 
Could you please grant me read access ,
User ID:FADEV\COG.SSR
Test Db Server Name : FADEV-TESTSQL1?"
"SCTASK0011146","COG - Compute support","I need to access the 10.112.0.200 jump server.","It is required for development."
"SCTASK0011133","COG - Desk side support - SGP","TV Request in the Futsal Hall for UEFA A Licence","Hi, can we please have 3 TV's with a splitter in the Futsal Hall for the following dates please? 
28-29-Oct-20
15-16-Nov-20
30-Nov-1-Dec-20
9-10-Dec-20"
"SCTASK0011102","COG - Smart Ops Support (L1.5)","Onside Login","Onside Login required. - Please email Danielle.Poynter with any follow up issues."
"SCTASK0011101","COG - Smart Ops Support (L1.5)","Onside Login","Please create login. - Please direct any questions to alex.burkwood@thefa.com"
"SCTASK0011100","COG - Smart Ops Support (L1.5)","Onside Login","Onside login required. - Please direct any questions to steven.ritchie@thefa.com"
"SCTASK0011074","COG - Application Support","Safeguarding expiry needs to be put on CRM/WGS","John Lowe Fan 62817685 . Hi Safeguarding expiry should read 26/9/21 please update on CRM/WGS"
"SCTASK0011072","COG - Desk side support - Wembley","To have a drop box that allows for partner organisations involved in a project to share their mental health resources and publications on a platform that is accessible to all members.","Required to support a project involving the UK Football Family."
"SCTASK0011071","COG - Application Support","Safeguarding expiry needs updating on CRM","Matt Flaherty fan 56056009 Safeguarding expires 17/6/23 please update crm
Michael Lynam Fan 55781970 Safeguarding expires 3/3/23 please update crm"
"SCTASK0011067","COG - Service Desk Support","Font install","Need to install new fonts onto my computer which requires IT administration permission."
"SCTASK0011065","COG - Service Desk Support","CAS and Sharefile Access","For work"
"SCTASK0011059","COG - Service Desk Support","Please can access be granted for WGS and full-time for Luke please","Additional responsibilities"
"SCTASK0011058","COG - Network Data Support","Need to configure one County Space Wifi Routers in the 2nd site(Norfolk FDC)","Norfolk FA -CEO business Justification: 

I unplugged one of the two County Space Wifi Routers at our County Headquarters yesterday evening due to the office now being shut.

What I would like to do is utilise the router at our 2nd site (the FDC) where we have a separate FA IT line so that we improve the County Space Wifi signal across the building, is this possible?"
"SCTASK0010976","COG - Desk side support - SGP","grounds laptops","All the 3 devices in the ground department are running very slow, we would like IT to look at them to speed them up, can you allocate to someone at SGP as it needs to be done in person and not remotely as the grounds team arent always at them"
"SCTASK0010038","COG - Compute support","Need Jump Server Access","Need server access for the below user:
Username: thefa\dikumar
Server:
10.212.180.7"
"SCTASK0010027","COG - Compute support","Create anew subdomain","We are currently working with an agency to create a postcode finder tool and a sign up campaign (similar to pledge of positivty) which we are wanting to sit on FA.com

The agency are asking for a new subdomain to be set up so they can build this tool into the page.

The subdomain we would want is:  Girls-Football-in-Schools.thefa.com.

In terms of timelines, we are hoping to go live with the campaign in mid October"
"SCTASK0010024","COG - Service Desk Support","After detailed discussion with IT, I have now been advised to put re-raise all of these consultants as one single list in a service request.","Contract renewal for 2020-21 season. Renewal of FA IT Profile, Google Account, MS 365 License till 30th August, 2021.

Men Doctors

Ish Rehman
Vicann During
Dean Chatterjee
Craig Rosenbloom
Farhan Shahid
Wing Chu


Women Doctors

Harriet Collins
Craig Sheridan
Dane Vishnubala
James Baldock


Men Physio/STT/OST

Simon Spencer
Carl Todd
Ben Mortlock
Joel Harris
Suzanne Scott
Nathan Ring
Danny Murphy
Cassandra Gramozi

Women Physio

Emily Whatling
Rosalyn Cooke
Andrew Barker
James Boyd

PPN

Neil Parsley
Joshua Dixon

Chef and Nutritionist

Omar Meziane
Sean Kyle
Gareth Cole
Michael Naylor"
"SCTASK0010012","COG - Desk side support - SGP","Printer ink for ted dale","Hi Can i order the following printer ink for ted dale please 

BROTHER – MFC -J470DW – Ink cartridge CODE IS: LC123

can you please send this to the following address 

Ted Dale
295 Brighton Road
Worthing
West Sussex
BN11 2HG"
